player,catch,run_out,stumping,total_fielding
T Kaisala,0,1,1,2
T Kelly,12,4,0,16
T Kohler-Cadmore,17,1,0,18
T Kohli,12,0,0,12
T Lungameni,9,1,0,10
T Luus,0,1,0,1
T Manders,12,3,0,15
T Martin,3,0,0,3
T Maruma,4,0,0,4
T Marumani,14,2,2,18
T Mishra,4,1,0,5
T Misi,0,1,0,1
T Munyonga,7,2,0,9
T Mupariwa,0,1,0,1
T Murphy,8,1,0,9
T Musekiwa,5,0,0,5
T Muzarabani,1,1,0,2
T Natarajan,19,4,0,23
T Nightingale,16,3,0,19
T Panyangara,4,0,0,4
T Parima,7,0,0,7
T Perera,11,2,0,13
T Pradeep,2,1,0,3
T Rajiv,0,1,0,1
T Ritawa,3,0,0,3
T Rossi,3,1,0,4
T Salathia,1,0,0,1
T Sandeep,5,2,0,7
T Sangha,12,2,0,14
T Shamsi,18,3,0,21
T Stubbs,73,3,4,80
T Sumiya,1,0,0,1
T Suri,8,2,2,12
T Taibu,5,2,1,8
T Tatar,1,0,0,1
T Taylor,4,0,0,4
T Thushara,5,1,0,6
T Tshose,14,3,0,17
T Tumursukh,1,0,0,1
T Vanuarua,5,0,0,5
T Vijay,3,0,0,3
T Wangchuk,13,3,0,16
T Webster,13,1,0,14
T Whiteman,2,0,0,2
T Wuatai,1,0,0,1
T Yotharat,1,1,0,2
T Zotos,1,0,0,1
T de Zorzi,1,0,0,1
T van der Gugten,13,5,0,18
TA Blundell,3,0,0,3
TA Boult,61,4,0,65
TA Griffith,4,0,0,4
TA Lammonby,3,0,0,3
TA Willett,2,0,0,2
TAM Siriwardana,6,0,0,6
TB Abell,9,1,0,10
TB Robinson,5,0,0,5
TB Sole,4,0,0,4
TB de Bruyn,3,0,0,3
TC Barker,15,2,0,17
TC Bruce,15,0,0,15
TD Andrews,2,0,0,2
TD Astle,3,0,0,3
TD Chaoana,2,2,0,4
TD Paine,39,5,10,54
TE Kane,1,0,0,1
TF Rogers,18,1,0,19
TG Southee,85,8,0,93
TG Thamae,2,1,0,3
TGJ Gruijters,4,0,0,4
TH David,127,10,0,137
TIF Triffitt,22,5,1,28
TJ Armstrong,1,0,0,1
TJ Draca,2,0,0,2
TJ Moores,1,0,1,2
TJ Murtagh,3,2,0,5
TJG Pringle,9,0,0,9
TK Curran,21,1,0,22
TK Joseph,16,7,4,27
TK Lal,0,1,0,1
TK Musakanda,7,0,0,7
TKP Rajapaksha,0,1,0,1
TL Best,1,1,0,2
TL Chatara,9,6,0,15
TL Chivanga,1,0,0,1
TL Cutler,0,1,0,1
TL Lawford,1,2,0,3
TL O'Connell,7,1,0,8
TL Seifert,73,10,17,100
TL Suman,10,5,0,15
TLW Cooper,63,2,0,65
TM Beaton,2,0,0,2
TM Dilshan,56,15,1,72
TM Head,32,1,0,33
TM Macalou,1,1,0,2
TM Odoyo,3,0,0,3
TM Srivastava,2,2,0,4
TN de Grooth,3,0,0,3
TO Carmichael,1,1,0,2
TO Thilappan,2,0,0,2
TP Allen,5,0,0,5
TP Alsop,3,0,1,4
TP Doropoulos,1,0,0,1
TP Kaber,1,0,0,1
TP Ludeman,28,6,4,38
TP Ura,23,1,0,24
TP Visee,5,1,0,6
TR Ambrose,1,1,1,3
TR Birt,12,1,0,13
TS Braat,1,0,0,1
TS Chisoro,1,0,0,1
TS Fray,10,0,0,10
TS Kamunhukamwe,2,0,0,2
TS Mills,9,6,0,15
TS Rogers,14,4,0,18
TS Waqavakatoga,3,0,0,3
TSS Mackintosh,2,1,0,3
TT Bresnan,14,1,0,15
TT Sawkar,1,0,0,1
TU Deshpande,14,1,0,15
TV Valivarthi,5,1,0,6
TW Dlamini,1,0,0,1
TW Gray,3,0,0,3
TWM Latham,15,4,4,23
Tafseer Ali,1,0,0,1
Tahmeed Rahman,0,1,0,1
Tajinder Singh,5,1,0,6
Talha Khan,5,1,0,6
Tamim Iqbal,22,1,0,23
Tamoor Sajjad,5,0,0,5
Tana Davit,2,0,0,2
Tanay Thyagarajan,10,2,0,12
Tanmay Agarwal,18,2,0,20
Tanush Kotian,4,2,0,6
Tanveer Ahmed,1,0,0,1
Tanveer Ul-Haq,1,0,0,1
Tanvir Islam,1,0,0,1
Tanwir Afzal,3,1,0,4
Tanzeel Sheikh,3,0,0,3
Tanzid Hasan,12,0,0,12
Tanzim Hasan Sakib,11,0,0,11
Tarang Gohel,2,1,0,3
Tarani Sa,1,0,0,1
Taranjeet Singh,14,1,0,15
Taranjit Singh,6,1,0,7
Tarun Sharma,5,0,0,5
Tashi Phuntsho,1,0,0,1
Taskin Ahmed,8,2,0,10
Tauqeer Hussain,2,0,0,2
Tayyab Tahir,13,3,0,16
Techi Doria,7,3,0,10
Techi Neri,3,0,0,3
Techi Sonam,0,0,2,2
Tejas Patel,1,1,0,2
Tejwinder Singh,2,1,0,3
Temjentoshi Jamir,2,1,0,3
Tenjin Rabgey,9,3,0,12
Thomas Moirangthem,2,0,0,2
Thuya Aung,2,2,1,5
Tian Sen Qun,0,1,0,1
Tilak Varma,56,6,0,62
Toqeer Ahmad,1,0,0,1
Towhid Hridoy,11,2,0,13
Treyaksh Bali,1,0,0,1
Tshering Tashi,9,3,3,15
Tukuna Sahoo,2,1,0,3
U Aryaman Sunil,7,0,0,7
U Kaul,5,3,1,9
U Shahid,3,1,0,4
U Shantu,1,1,0,2
U U Bose,5,2,0,7
UA Birla,1,0,0,1
UBT Chand,23,1,0,24
UKPW Kumaranayaka,2,0,0,2
UNGB Thenannahelage,2,4,4,10
UR Patel,4,0,0,4
US Hathinjar,13,4,2,19
UT Khawaja,25,1,0,26
UT Yadav,43,6,0,49
Ubaid Minhas,1,0,0,1
Ubaid Shah,1,0,0,1
Umaid Asif,9,7,0,16
Umair Masood,1,0,0,1
Umair Qasim,4,1,0,5
Umair Sharif,2,0,0,2
Umair Tariq,10,5,0,15
Umang Sharma,3,0,0,3
Umar Adam,11,2,0,13
Umar Akmal,91,11,8,110
Umar Alam,1,0,0,1
Umar Amin,15,0,0,15
Umar Gul,17,6,0,23
Umar Nawaz,3,1,0,4
Umar Nazir,1,0,0,1
Umar Siddiq,4,0,1,5
Umer Imtiaz,15,4,3,22
Umer Khan,3,0,0,3
Umran Malik,7,2,0,9
Unnikrishnan Manukrishnan,6,0,0,6
Upendra Yadav,17,2,9,28
Urvil Patel,24,2,3,29
Usama Mir,18,1,0,19
Usman Arif,4,1,0,5
Usman Khalid,10,1,0,11
Usman Khan,30,7,3,40
Usman Najeeb,6,2,0,8
Usman Patel,23,24,15,62
Usman Qadir,8,1,0,9
Usman Shinwari,5,1,0,6
Utkarsh Jain,5,0,0,5
Utkarsh Singh,5,0,0,5
Uvais Ahmad,1,0,0,1
Uzair Amir,2,0,0,2
V Aravind,21,2,5,28
V Aritharan,2,0,0,2
V Athisayaraj Davidson,4,0,0,4
V Balakrishnan,12,0,0,12
V Baskaran,6,0,0,6
V Cheluvaraj,3,0,0,3
V Ganesan,21,3,0,24
V Hampihallikar,1,0,0,1
V Hirlal,0,0,1,1
V Hristov,4,0,0,4
V Jagannivasan,2,0,0,2
V Jayant,0,1,0,1
V Khanduri,1,1,0,2
V Kohli,180,24,0,204
V M Jivrajani,1,0,0,1
V Marghashayam,4,0,0,4
V Mbazo,10,5,10,25
V Nigam,3,2,0,5
V Permaul,16,2,0,18
V Puthur,1,0,0,1
V Ravindran,12,1,1,14
V Saini,22,6,0,28
V Sehwag,36,10,0,46
V Shankar,54,7,0,61
V Shaw,1,1,0,2
V Shetty,2,0,0,2
V Shukla,1,2,1,4
V Sibanda,11,3,0,14
V Sukumaran,3,0,0,3
V Vijh,2,2,0,4
V Vishal,2,1,0,3
V Viyaskanth,2,0,0,2
V Zanko,2,0,0,2
V Zimonjic,8,5,0,13
VA Jagadeesh,3,0,0,3
VB Chikkannaiah,3,1,0,4
VC Ahir,1,0,0,1
VD Adewoye,7,2,0,9
VD Philander,1,1,0,2
VE Tembo,1,0,0,1
VG Arora,13,2,0,15
VH Zol,1,1,0,2
VJ Kingma,4,0,0,4
VK Saha,0,1,0,1
VK Singh,1,0,0,1
VM Nyauchi,1,0,0,1
VM Vaghela,2,1,0,3
VP Thamotharam,13,3,0,16
VR Aaron,11,3,0,14
VR Iyer,37,4,0,41
VRB Arachchige,1,0,0,1
VRV Singh,3,0,0,3
VS Malik,2,0,0,2
VS Padhaal,5,1,0,6
VS Solanki,3,1,0,4
VV Gite,1,1,0,2
VVS Laxman,4,1,0,5
VY Mahesh,6,0,0,6
Vaibhav Govekar,1,0,0,1
Vaibhav Singh Panwar,3,0,0,3
Vaisakh Chandran,1,0,0,1
Varun Choudhary,3,0,0,3
Varun Sood,1,0,0,1
Vasuki Koushik,4,0,0,4
Vichanath Singh,4,1,0,5
Vidyadhar Patil,3,1,0,4
Vijay Jethi,1,0,0,1
Vijay Rao,1,0,0,1
Vijay Sharma,5,3,0,8
Vijaykumar Vyshak,6,1,0,7
Vijesh Prabhudessai,2,0,0,2
Vikas Hathwala,5,4,0,9
Vikas Mishra,1,0,0,1
Vikas Yadav,6,0,0,6
Vikash Kumar,2,1,0,3
Vikash Singh,7,2,0,9
Vikash Yadav,7,0,3,10
Vikramjit Singh,11,0,0,11
Vikrant Rajput,1,1,0,2
Vimal Kumar,1,0,0,1
Vinay Iyer,1,0,0,1
Vinay Ravi,11,4,0,15
Vinod Kumar,1,0,0,1
Vinoop Manoharan,6,0,0,6
Vipin Dhaka,2,0,0,2
Virandeep Singh,39,7,4,50
Virat Singh,13,0,0,13
Virendra Kumar,0,1,0,1
Virk Ali,1,1,0,2
Vishal Das,1,0,0,1
Vishal Jayswal,1,0,0,1
Vishal Kushwah,11,0,0,11
Vishal Sharma,5,0,0,5
Vishaul Singh,2,0,0,2
Vishil Patel,2,0,0,2
Vishnu Solanki,22,11,4,37
Vishnu Vinod,10,1,2,13
Vishvaraj Jadeja,13,1,0,14
Vivek Kumar,2,1,0,3
Vivek Singh,22,1,0,23
Vivekanand Tiwari,3,0,0,3
Vivrant Sharma,1,0,0,1
Vraj Patel,10,2,0,12
W Barresi,32,6,1,39
W Behr,4,1,0,5
W Boshoff,8,5,6,19
W Jackson,2,0,0,2
W Jaffer,4,1,0,5
W Kokaua,0,1,0,1
W Madhevere,28,3,0,31
W Miyauchi,11,4,9,24
W Nalisa,6,2,0,8
W Niyitanga,10,1,0,11
W O'Rourke,2,0,0,2
W Parker,1,0,0,1
W Peatfield,1,0,0,1
W Prestwidge,1,0,0,1
W Sutherland,27,3,0,30
W Uisuk,1,0,0,1
W Viraliliu,1,0,0,1
W Wotu,4,2,0,6
WA Agar,12,3,0,15
WA Mota,5,1,0,6
WA Simpson,2,0,0,2
WA Young,6,0,0,6
WAE Burton,10,3,1,14
WB Marshall,1,0,0,1
WB Rankin,12,2,0,14
WCF Smeed,7,0,0,7
WD Parnell,29,4,0,33
WD Sheridan,7,1,0,8
WER Somerville,2,0,0,2
WG Bosisto,3,0,0,3
WG Jacks,36,1,0,37
WIA Fernando,12,0,0,12
WJ Cope,6,4,0,10
WJ Lubbe,9,1,0,10
WJ Malinda,10,1,0,11
WK Bitis,2,0,0,2
WK McCallan,2,1,0,3
WKD Perkins,7,0,0,7
WL Madsen,6,0,0,6
WP Masakadza,31,3,0,34
WP Saha,102,23,30,155
WPUJC Vaas,0,1,0,1
WSLK Narayana,1,0,0,1
WT Gavera,1,0,0,1
WT Mashinge,2,0,0,2
WTS Porterfield,23,5,0,28
WU Tharanga,2,1,0,3
WW Hinds,1,0,0,1
Wahab Riaz,33,2,0,35
Waheed Ahmed,1,0,0,1
Wahidullah Sahak,13,3,0,16
Waji Ul Hassan,10,0,0,10
Waleed Waqar,1,0,0,1
Walid Ghauri,11,4,0,15
Wang Liuyang,0,0,3,3
Wang Qi,0,1,0,1
Waqar Abbasi,1,0,0,1
Waqar Khan,4,0,0,4
Waqar Salamkheil,1,1,0,2
Waqar Ul Hassan,2,0,0,2
Waqar Zalmai,2,0,0,2
Waqas Ahmad,6,4,0,10
Waqas Ali,1,1,0,2
Waqas Barkat,13,0,0,13
Waqas Haider,2,0,0,2
Waqas Khan,1,0,0,1
Waqas Maqsood,4,2,0,6
Waseem Muhammad,52,6,0,58
Waseem Raza,3,1,0,4
Waseem Yaqoob,0,3,0,3
Waseeq Ahmed,2,0,0,2
Washeem Abbas,11,4,0,15
Washington Sundar,37,2,0,39
Wasim Ali,2,0,0,2
Wasiqur Rahman,7,1,2,10
Wei Guo Lei,1,0,0,1
Writtick Chatterjee,7,0,0,7
X Thalaivan Sargunam,3,1,0,4
XA Crone,0,1,0,1
XC Bartlett,28,1,0,29
XJ Doherty,6,2,0,8
XM Marshall,6,0,0,6
XSD Smith,0,1,0,1
Y Gnaneswara Rao,2,0,0,2
Y Jalloh,4,1,0,5
Y Nagar,10,5,0,15
Y Naing Tun,4,0,1,5
Y Saranonnakkun,10,4,0,14
Y Venugopal Rao,13,3,0,16
YB Kothari,3,0,0,3
YBK Jaiswal,50,3,0,53
YI Kachhalia,3,0,0,3
YJC Altamirano,1,0,0,1
YK Pathan,61,11,0,72
YM Nkanya,9,0,0,9
YP Dayal,1,0,0,1
YR Sharma,5,1,0,6
YS Chahal,50,7,0,57
YS Samra,2,0,0,2
YSD Seneveratne,6,0,0,6
YV Dhull,4,1,0,5
YV Takawale,14,6,4,24
YY Singh,0,1,0,1
YYM Jakda,1,0,0,1
Yadwinder Singh,1,0,0,1
Yair Nagavkar,3,0,0,3
Yasar Haroon,3,0,0,3
Yash Dayal,8,2,0,10
Yash Nahar,3,1,0,4
Yash Singh,1,1,0,2
Yash Thakur,10,1,0,11
Yashaswi Rishav,1,0,0,1
Yashpal Singh,6,1,0,7
Yasim Murtaza,9,1,0,10
Yasin Patel,25,5,0,30
Yasir Ali,7,3,0,10
Yasir Ali Chowdhury,9,0,0,9
Yasir Arafat,3,2,0,5
Yasir Khan,7,1,0,8
Yasir Mehmood,2,0,0,2
Yasir Mohammad,4,2,0,6
Yasir Shah,11,1,0,12
Yogesh Tiwari,1,1,0,2
Younis Khan,12,1,0,13
Yudhvir Singh,6,1,0,7
Yusuf Bhoola,2,0,0,2
Yusuf Ebrahim,4,1,0,5
Yuvraj Chudasama,1,0,0,1
Yuvraj Singh,46,14,0,60
Yves Cyusa,1,1,0,2
Z Bimenyimana,15,7,0,22
Z Burgess,16,2,0,18
Z Crawley,10,2,0,12
Z Evans,6,0,0,6
Z Groenewald,3,0,0,3
Z Hoque,2,0,0,2
Z Khan,21,6,0,27
Z Shurentsetseg,0,1,0,1
ZB Lion-Cachet,2,1,0,3
ZE Green,62,14,8,84
ZE Matsinhe,3,1,0,4
ZGF Foulkes,1,1,0,2
ZM Tribe,6,0,0,6
ZR Jaboneke,2,1,0,3
ZXM Vukusic,4,0,0,4
Zafar Ali,1,0,0,1
Zafar Gohar,3,1,0,4
Zaheer Ibrahim,1,0,0,1
Zaheer Maqsood,1,0,0,1
Zaheer Zahiri,1,1,0,2
Zahid Abbas,1,0,0,1
Zahid Hussain,1,0,0,1
Zahid Mahmood,0,2,0,2
Zahid Zadran,3,0,0,3
Zahir Khan,5,0,0,5
Zahir Mohammed,9,1,0,10
Zahoor Khan,3,1,0,4
Zahoor Sofi,1,0,0,1
Zaid Soulat,1,0,0,1
Zain Ahmad,5,3,0,8
Zain Ali,1,0,0,1
Zain Asif,1,0,0,1
Zain Ul Abidin,6,5,0,11
Zaker Taqawi,2,0,0,2
Zaki Ul Hassan,4,1,0,5
Zakir Hasan,1,0,0,1
Zaman Khan,10,3,0,13
Zameer Khan,2,1,1,4
Zawar Farid,6,0,0,6
Zeerak Chughtai,0,1,0,1
Zeeshan Ali,22,8,10,40
Zeeshan Ansari,4,1,0,5
Zeeshan Ashraf,7,0,1,8
Zeeshan Goraya,1,0,0,1
Zeeshan Khan,15,4,0,19
Zeeshan Kukikhel,6,2,0,8
Zeeshan Maqsood,14,1,0,15
Zeeshan Zameer,1,0,0,1
Zeshan Arif,1,0,0,1
Zhao Tianle,2,0,0,2
Zhuang Zelin,3,0,0,3
Ziaur Rahman,5,2,0,7
Ziaur Rehman,1,0,0,1
Ziaurahman Shinwari,1,0,0,1
Zishan Shah,2,0,0,2
Zohaib Khan,2,0,0,2
Zohaib Sarwar,2,0,0,2
Zubaidi Zulkifle,24,4,0,28
Zuhaib Zubair,7,0,0,7
Zuhair Muhammad,1,0,0,1
Zulfiqar Babar,7,0,0,7
Zulqarnain Haider,0,0,1,1
