player,total_runs,total_balls,matches_played,bat_avg,strike_rate,milestone_1000_runs,batting_elo
AN Longchar,46,88,5,9.2,52.27272727272727,False,1500.5576834354051
AN Petersen,14,19,2,7.0,73.68421052631578,False,1502.0650849280398
AN Toube,55,98,14,3.9285714285714284,56.12244897959183,False,1477.9161345404361
AO Suji,11,26,2,5.5,42.30769230769231,False,1500.7422632480864
AP Devcich,657,525,32,20.53125,125.14285714285714,False,1580.001661720219
AP Dole,34,23,2,17.0,147.82608695652172,False,1504.6867906506234
AP Majumdar,231,191,11,21.0,120.94240837696336,False,1527.6274483802981
AP Rajeevan,848,764,35,24.228571428571428,110.99476439790577,False,1601.3579203719519
AP Sharma,5,9,3,1.6666666666666667,55.55555555555556,False,1491.7052815164443
AP Tare,1348,1051,69,19.536231884057973,128.25880114176977,True,1626.9956284511964
AP Yadav,941,927,37,25.43243243243243,101.51024811218986,False,1596.7354471116614
AR Adams,13,12,2,6.5,108.33333333333333,False,1501.722092864754
AR Balla,32,124,12,2.6666666666666665,25.806451612903224,False,1477.0788644522736
AR Bawne,235,192,15,15.666666666666666,122.39583333333333,False,1524.6659286058675
AR Beadle,7,7,1,7.0,100.0,False,1501.055472597463
AR Berenger,46,24,2,23.0,191.66666666666669,False,1506.7052815164443
AR Cusack,180,137,17,10.588235294117647,131.38686131386862,False,1498.524139613367
AR Easwaran,569,445,20,28.45,127.86516853932584,False,1548.7799279662963
AR Gandhi,86,99,3,28.666666666666668,86.86868686868688,False,1512.0167914702743
AR Keath,10,11,2,5.0,90.9090909090909,False,1500.3534109179143
AR Kumar,115,120,8,14.375,95.83333333333334,False,1519.1749141325622
AR Lamba,5,9,2,2.5,55.55555555555556,False,1497.2362140620166
AR Leo,63,83,7,9.0,75.90361445783132,False,1500.2702594530335
AR McBrine,145,115,16,9.0625,126.08695652173914,False,1511.2606963614687
AR Menon,2,5,1,2.0,40.0,False,1498.1992323303746
AR Mokhade,1,2,1,1.0,50.0,False,1497.018490865821
AR Naidoo,442,463,22,20.09090909090909,95.46436285097192,False,1537.6541992701314
AR Nair,1,3,2,0.5,33.33333333333333,False,1492.018490865821
AR Nedd,9,13,4,2.25,69.23076923076923,False,1492.453937258212
AR Nurse,529,476,52,10.173076923076923,111.1344537815126,False,1554.0488251436234
AR Odedara,28,36,4,7.0,77.77777777777779,False,1495.7720459619954
AR Pandey,104,90,7,14.857142857142858,115.55555555555554,False,1513.654710932184
AR Patel,3012,2346,191,15.769633507853403,128.38874680306904,True,1823.1519775014378
AR Patwa,1020,904,38,26.842105263157894,112.83185840707965,True,1617.942175110604
AR Perez Rivero,9,10,1,9.0,90.0,False,1501.7052815164443
AR Puri,27,59,12,2.25,45.76271186440678,False,1468.2130118546077
AR Ramjani,644,518,35,18.4,124.32432432432432,False,1557.2448502843413
AR Rohera,37,31,1,37.0,119.35483870967742,False,1505.0
AR White,95,92,7,13.571428571428571,103.26086956521738,False,1513.09901495757
ARA Chambers,216,242,11,19.636363636363637,89.25619834710744,False,1531.9120042403001
ARB Singh,20,30,3,6.666666666666667,66.66666666666666,False,1498.9414955784607
ARH Patel,0,5,2,0.0,0.0,False,1490.0
AS Bedi,7,3,1,7.0,233.33333333333334,False,1501.055472597463
AS Dean,1,1,1,1.0,100.0,False,1497.018490865821
AS Hansra,76,74,7,10.857142857142858,102.7027027027027,False,1505.2347509826309
AS Hundal,0,4,1,0.0,0.0,False,1495.0
AS Joseph,423,411,64,6.609375,102.91970802919708,False,1474.449331978269
AS Karambelkar,24,20,3,8.0,120.0,False,1503.2115670186754
AS Mehmi,70,86,9,7.777777777777778,81.3953488372093,False,1498.2522846823429
AS Rajpoot,49,74,13,3.769230769230769,66.21621621621621,False,1486.7063441573061
AS Raut,394,382,29,13.586206896551724,103.1413612565445,False,1543.5776547883088
AS Roy,276,170,24,11.5,162.35294117647058,False,1508.3650644455145
AS Samra,303,255,13,23.307692307692307,118.82352941176471,False,1530.5553473625596
AS Surwar,15,12,2,7.5,125.0,False,1501.506285502231
AS Thakare,1,2,1,1.0,50.0,False,1497.018490865821
AS Wright,46,48,3,15.333333333333334,95.83333333333334,False,1499.036981731642
AS Yadav,49,40,6,8.166666666666666,122.50000000000001,False,1503.1380876955784
ASF Sirah,49,55,6,8.166666666666666,89.0909090909091,False,1504.637043551951
AT Carey,2155,1735,87,24.770114942528735,124.20749279538906,True,1703.8021454703573
AT Chuvale,3,8,1,3.0,37.5,False,1499.036981731642
AT Nidamanuru,204,196,17,12.0,104.08163265306123,False,1505.414503956341
AT Rayudu,4992,4028,217,23.004608294930875,123.93247269116188,True,2005.891037045206
AU Rashid,308,287,56,5.5,107.31707317073172,False,1466.0208090635447
AUK Pathan,213,174,13,16.384615384615383,122.41379310344827,False,1514.9379577052118
AUKDS Kalugala,181,169,8,22.625,107.10059171597632,False,1520.323246008934
AV Jaiswal,0,2,1,0.0,0.0,False,1495.0
AV Kolhar,125,111,6,20.833333333333332,112.61261261261262,False,1518.2536844208853
AV Lalcheta,62,65,9,6.888888888888889,95.38461538461539,False,1498.6432788617544
AV Lazarus,715,637,32,22.34375,112.24489795918366,False,1583.8684392034088
AV Rajput,171,145,7,24.428571428571427,117.9310344827586,False,1520.6635884432146
AV Wankhade,835,637,32,26.09375,131.08320251177395,False,1608.6650503143392
AW Hawkins-Kay,63,84,7,9.0,75.0,False,1501.5720985745438
AW O'Brien,68,69,11,6.181818181818182,98.55072463768117,False,1500.2658272602064
AW Robinson,71,60,5,14.2,118.33333333333333,False,1509.047617024396
AWJ Auguste,131,129,9,14.555555555555555,101.55038759689923,False,1514.493781298211
AY Patel,7,14,2,3.5,50.0,False,1498.7237723822655
AZ Shah,5,18,2,2.5,27.77777777777778,False,1496.7052815164443
Aaftab Alam Khan,241,209,18,13.38888888888889,115.31100478468899,False,1513.6476679723276
Aakarshit Gomel,2,5,1,2.0,40.0,False,1498.1992323303746
Aakash Chand,2,6,2,1.0,33.33333333333333,False,1493.1992323303746
Aakash Verma,16,23,3,5.333333333333333,69.56521739130434,False,1497.6494513904427
Aamer Azmat,67,61,5,13.4,109.8360655737705,False,1508.391714638529
Aamer Ikram,53,72,2,26.5,73.61111111111111,False,1509.2547049278376
Aamer Jamal,266,180,21,12.666666666666666,147.77777777777777,False,1516.1570954197468
Aamer Yamin,168,126,17,9.882352941176471,133.33333333333331,False,1500.4294798622718
Aamir Gani,4,11,2,2.0,36.36363636363637,False,1496.3984646607491
Aamir Kaleem,506,461,33,15.333333333333334,109.76138828633407,False,1527.2015926247095
Aamir Lal,149,128,8,18.625,116.40625,False,1514.9068958349285
Aanshul Gupta,214,211,13,16.46153846153846,101.4218009478673,False,1523.4979484918672
Aaqib Sulehri,32,33,4,8.0,96.96969696969697,False,1500.406600830659
Aarif Sheikh,508,468,32,15.875,108.54700854700855,False,1553.2535223739726
Aarnav Patel,2,7,2,1.0,28.57142857142857,False,1494.0369817316418
Aaron Jones,948,837,49,19.346938775510203,113.26164874551972,False,1599.3155457877838
Aarya Desai,99,82,4,24.75,120.73170731707317,False,1512.4928172317816
Aasif Sheikh,1425,1273,60,23.75,111.94029850746267,True,1667.504065697092
Aayan Afzal Khan,159,189,15,10.6,84.12698412698413,False,1511.6446840575884
Abbas Afridi,250,186,28,8.928571428571429,134.40860215053763,False,1504.8934491913747
Abbas Ghani,288,178,12,24.0,161.79775280898875,False,1525.3280322881442
Abdul Bangalzai,15,24,4,3.75,62.5,False,1489.9045138468186
Abdul Basith,67,52,3,22.333333333333332,128.84615384615387,False,1504.48779463641
Abdul Hashim,131,163,13,10.076923076923077,80.3680981595092,False,1501.615538020978
Abdul Majid,1,1,1,1.0,100.0,False,1497.018490865821
Abdul Majid Abbasi,24,48,13,1.8461538461538463,50.0,False,1465.73923142401
Abdul Naser Baluch,34,38,5,6.8,89.47368421052632,False,1499.9078745164238
Abdul Nasir,1,4,2,0.5,25.0,False,1492.018490865821
Abdul Rahman,117,119,7,16.714285714285715,98.31932773109243,False,1505.757375200849
Abdul Razzaq,430,378,32,13.4375,113.75661375661377,False,1549.3598257407991
Abdul Samad,1303,923,77,16.92207792207792,141.17009750812568,True,1653.200394206216
Abdul Shakoor,158,192,12,13.166666666666666,82.29166666666666,False,1521.4068762880606
Abdul Shakoor (2),64,60,3,21.333333333333332,106.66666666666667,False,1509.9213251951282
Abdul Stanikzai,71,93,3,23.666666666666668,76.34408602150538,False,1509.4724281240328
Abdul Waheed,1126,899,41,27.463414634146343,125.25027808676307,True,1617.4936823041226
Abdul Wahid,150,111,7,21.428571428571427,135.13513513513513,False,1519.0224311590648
Abdul-Shakoor Rahimzei,262,249,13,20.153846153846153,105.22088353413655,False,1529.5734749069711
Abdulla Bhoola,7,12,2,3.5,58.333333333333336,False,1496.055472597463
Abdullah Akbarjan,58,90,12,4.833333333333333,64.44444444444444,False,1491.1023955052108
Abdullah Jasat,35,30,7,5.0,116.66666666666667,False,1491.5375130520727
Abdullah Khan Lodhi,95,113,4,23.75,84.070796460177,False,1515.706603505417
Abdullah Mahmood,15,22,6,2.5,68.18181818181817,False,1488.7703664444844
Abdullah Rana,42,27,5,8.4,155.55555555555557,False,1499.8875812861318
Abdullah Shafique,1109,824,42,26.404761904761905,134.5873786407767,True,1604.375147165509
Abdullah Shahid,11,17,2,5.5,64.70588235294117,False,1499.0013219889727
Abdullah Sheikh,16,26,3,5.333333333333333,61.53846153846154,False,1499.472428124033
Abdur Rahman Sudais,57,46,3,19.0,123.91304347826086,False,1508.4682296056421
Abdur Razzak,37,71,17,2.176470588235294,52.112676056338024,False,1455.9279057016292
Abdur Rehman,18,24,4,4.5,75.0,False,1498.5094098556751
Abhay,1,14,3,0.3333333333333333,7.142857142857142,False,1487.018490865821
Abhay Negi,173,127,13,13.307692307692308,136.2204724409449,False,1517.311354265572
Abhijeet Ahuja,313,355,14,22.357142857142858,88.16901408450704,False,1532.9185948530724
Abhijeet Saket,0,2,2,0.0,0.0,False,1490.0
Abhijit Roy,21,32,2,10.5,65.625,False,1504.0835757938607
Abhilash Gogoi,20,23,4,5.0,86.95652173913044,False,1497.7317051953307
Abhilash Mallick,37,46,2,18.5,80.43478260869566,False,1506.055472597463
Abhilash Patil,12,29,1,12.0,41.37931034482759,False,1502.469303770589
Abhimanyu Chauhan,1,3,1,1.0,33.33333333333333,False,1497.018490865821
Abhimanyu Rana,240,229,14,17.142857142857142,104.80349344978166,False,1512.1018986003612
Abhinav Dixit,84,84,5,16.8,100.0,False,1513.45907292878
Abhinav Srivastava,10,16,2,5.0,62.5,False,1498.7237723822652
Abhisek Das,142,146,7,20.285714285714285,97.26027397260275,False,1514.594665167047
Abhishek Ahuja,246,227,10,24.6,108.37004405286343,False,1516.2545657297103
Abhishek Anand,18,27,3,6.0,66.66666666666666,False,1499.9213251951285
Abhishek Bhandari,109,87,6,18.166666666666668,125.28735632183907,False,1510.6224081931819
Abhishek Goswami,178,159,8,22.25,111.9496855345912,False,1515.776823096883
Abhishek Gupta,33,36,5,6.6,91.66666666666666,False,1496.2614298513402
Abhishek Mohan,20,20,3,6.666666666666667,100.0,False,1501.7240086984266
Abhishek Pandey,1,2,1,1.0,50.0,False,1497.018490865821
Abhishek Sakuja,1,2,1,1.0,50.0,False,1497.018490865821
Abhishek Sharma,3229,2066,124,26.04032258064516,156.29235237173282,True,1753.0631846750398
Abhishek Tanwar,6,7,2,3.0,85.71428571428571,False,1497.2362140620164
Abhishek Thakuri,116,131,8,14.5,88.54961832061069,False,1517.8726700505358
Abhishek Yadav,183,148,8,22.875,123.64864864864865,False,1526.5716073766407
Abid Mushtaq,29,32,5,5.8,90.625,False,1496.1777096404774
Abishek Porel,714,493,32,22.3125,144.82758620689654,False,1581.3871803717893
Abraash Khan,66,60,4,16.5,110.00000000000001,False,1513.140349495119
Abrar Ahmed,36,48,14,2.5714285714285716,75.0,False,1467.2060491530365
Abrar Bilal,64,72,5,12.8,88.88888888888889,False,1509.7303528887655
Absar Khan,6,9,2,3.0,66.66666666666666,False,1497.886022980998
Abu Hider,37,29,3,12.333333333333334,127.58620689655173,False,1504.0352823360952
Abu Jayed,2,3,1,2.0,66.66666666666666,False,1498.1992323303746
Abu Zar,2,4,1,2.0,50.0,False,1498.1992323303746
Abubacarr Kuyateh,51,80,6,8.5,63.74999999999999,False,1493.2916866594794
Abul Farhad,12,27,4,3.0,44.44444444444444,False,1493.2916866594796
Achit Shigwan,59,51,6,9.833333333333334,115.68627450980394,False,1505.3508945587591
Adil Amin,7,9,1,7.0,77.77777777777779,False,1501.055472597463
Adil Butt,329,227,11,29.90909090909091,144.9339207048458,False,1524.505314250957
Adil Reshi,17,26,5,3.4,65.38461538461539,False,1492.6716604544074
Aditya,64,47,1,64.0,136.17021276595744,False,1505.0
Aditya Garhwal,263,246,17,15.470588235294118,106.91056910569105,False,1528.8728574331462
Aditya Kaushik,567,527,24,23.625,107.59013282732448,False,1559.133544488775
Aditya Panwar,91,80,3,30.333333333333332,113.75,False,1509.591304497442
Aditya Rout,11,9,1,11.0,122.22222222222223,False,1502.2362140620164
Aditya Singh,7,17,3,2.3333333333333335,41.17647058823529,False,1492.6851111331118
Aditya Waghmode,282,201,10,28.2,140.2985074626866,False,1526.9632062811772
Adnan Idrees,374,298,29,12.89655172413793,125.503355704698,False,1524.3021405350494
Adnan Ilyas,167,170,10,16.7,98.23529411764706,False,1517.1662587162264
Adnan Mirza,130,105,9,14.444444444444445,123.80952380952381,False,1519.9204570287504
Adnan Mufti,7,7,1,7.0,100.0,False,1501.055472597463
Adnan Razzaq,6,2,2,3.0,300.0,False,1495.666620267291
Afif Hossain,1180,1021,71,16.619718309859156,115.57296767874632,True,1607.4427081687384
Aftab Ahmed,203,174,11,18.454545454545453,116.66666666666667,False,1522.844803170299
Aftab Hussain,7,5,3,2.3333333333333335,140.0,False,1494.2547049278373
Aftab Kayani,32,33,3,10.666666666666666,96.96969696969697,False,1504.0479160511916
Agha Salman,1037,854,48,21.604166666666668,121.42857142857142,True,1607.2953519812506
Agniv Pan,50,68,4,12.5,73.52941176470588,False,1509.5702962653238
Ahmad Khalid Ahmadzai,2,11,3,0.6666666666666666,18.181818181818183,False,1489.0369817316418
Ahmad Ramdoni,620,748,41,15.121951219512194,82.88770053475936,False,1575.3501927114257
Ahmad Raza,2,4,2,1.0,50.0,False,1493.1992323303746
Ahmadi Ravat,0,1,1,0.0,0.0,False,1495.0
Ahmadullah Shinwari,77,85,8,9.625,90.58823529411765,False,1498.2259832202078
Ahmed Aqeel,491,417,23,21.347826086956523,117.74580335731414,False,1560.0692960087779
Ahmed Baladraf,0,1,1,0.0,0.0,False,1495.0
Ahmed Banday,88,96,8,11.0,91.66666666666666,False,1507.3417375049635
Ahmed Daniyal,35,36,5,7.0,97.22222222222221,False,1498.1141650318214
Ahmed Faiz,1507,1290,70,21.52857142857143,116.82170542635659,True,1654.871000294509
Ahmed Hassan,613,587,26,23.576923076923077,104.42930153321977,False,1568.337260335383
Ahmed Raza,108,140,17,6.352941176470588,77.14285714285715,False,1489.7008837310166
Ahmed Safi Abdullah,9,13,2,4.5,69.23076923076923,False,1498.4169555265698
Ahmed Shah,60,65,10,6.0,92.3076923076923,False,1496.729995360227
Ahmed Shehzad,2874,2539,118,24.35593220338983,113.19417093343836,True,1779.8953741310793
Ahmed Wardak,40,39,3,13.333333333333334,102.56410256410255,False,1503.9058358357913
Ahmer Bin Nisar,913,746,45,20.288888888888888,122.38605898123325,False,1613.256794862571
Ahsan Abbasi,63,70,5,12.6,90.0,False,1512.4372236581446
Ahsan Ali,480,384,20,24.0,125.0,False,1547.6152598793597
Ahsan Hafeez,56,44,5,11.2,127.27272727272727,False,1506.02339185481
Ahsan Khan,11,10,3,3.6666666666666665,110.00000000000001,False,1496.6161878569444
Ahsan Malik,23,24,8,2.875,95.83333333333334,False,1484.0339499075658
Ahsan ul Haq,1,6,2,0.5,16.666666666666664,False,1492.018490865821
Aimal Khan,0,2,1,0.0,0.0,False,1495.0
Ainool Hafizs,184,202,28,6.571428571428571,91.0891089108911,False,1502.660332749503
Ainool Haqqiem,20,21,2,10.0,95.23809523809523,False,1503.867768431338
Aishwary Mourya,22,32,4,5.5,68.75,False,1493.261193535179
Aizaz Cheema,0,3,1,0.0,0.0,False,1495.0
Aizaz Khan,966,896,71,13.605633802816902,107.8125,False,1594.6256711597568
Ajay Kumar,19,30,1,19.0,63.33333333333333,False,1503.7237723822652
Ajay Mandal,217,191,20,10.85,113.61256544502618,False,1520.42344966896
Ajay Pradhan,0,2,1,0.0,0.0,False,1495.0
Ajay Sarkar,10,15,6,1.6666666666666667,66.66666666666666,False,1483.6346787227656
Akash Babu,2,6,3,0.6666666666666666,33.33333333333333,False,1488.1992323303746
